Searched Address,Address,City,Province,Postal Code,City Assessment 2024,Sold Price,Sold Date,Last Estimated Price,Last Estimated Date,URL
9824 7 St SE,9824 7 STREET SE,Calgary,Alberta,T2J2T6,495000,,1985-06-27T00:00:00.000Z,590100,2024-09-10T00:00:00.000Z,https://honestdoor.com/property/9824-7-street-se-calgary-ab
9840 5 St SE,9840 5 STREET SE,Calgary,Alberta,T2J1K9,496500,318500,2010-12-30T00:00:00.000Z,586000,2024-09-10T00:00:00.000Z,https://honestdoor.com/property/9840-5-street-se-calgary-ab
00000 one two three,36 Tu Cho Drive,Two Mile And Two And One-half Mile Village,Yukon,Y0A1C0,,,,652100,2024-09-10T00:00:00.000Z,https://honestdoor.com/property/36-tu-cho-drive-two-mile-and-two-and-one-half-mile-village-yt-j693a
808 Archwood Rd SE,808 ARCHWOOD ROAD SE,Calgary,Alberta,T2J1C4,506500,181500,2004-05-13T00:00:00.000Z,597400,2024-09-10T00:00:00.000Z,https://honestdoor.com/property/808-archwood-road-se-calgary-ab
9844 5 St SE,9844 5 STREET SE,Calgary,Alberta,T2J1K9,558500,123000,1992-06-09T00:00:00.000Z,663100,2024-09-10T00:00:00.000Z,https://honestdoor.com/property/9844-5-street-se-calgary-ab
9819 7 St SE,9819 7 STREET SE,Calgary,Alberta,T2J2T7,544000,439000,2016-07-02T00:00:00.000Z,642600,2024-09-10T00:00:00.000Z,https://honestdoor.com/property/9819-7-street-se-calgary-ab
