Address,City,Province,Postal Code,City Assessment 2024,Sold Price,Sold Date,Last Estimated Price,Last Estimated Date,URL
9232 ALLISON DRIVE SE,Calgary,Alberta,T2J1B4,507000,375000,2012-07-05T00:00:00.000Z,582100,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9232-allison-drive-se-calgary-ab
9527 ACADEMY DRIVE SE,Calgary,Alberta,T2J1A6,603500,655000,2023-04-10T00:00:00.000Z,729700,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9527-academy-drive-se-calgary-ab
9811 3 STREET SE,Calgary,Alberta,T2J0W9,682000,537500,2016-10-09T00:00:00.000Z,807600,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9811-3-street-se-calgary-ab
408 ATTICA DRIVE SE,Calgary,Alberta,T2H1P6,745000,544000,2013-08-08T00:00:00.000Z,813700,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/408-attica-drive-se-calgary-ab
9828 5 STREET SE,Calgary,Alberta,T2J1K9,511500,456000,2022-08-31T00:00:00.000Z,632700,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9828-5-street-se-calgary-ab
9804 2 STREET SE,Calgary,Alberta,T2J0W2,486000,,1987-09-01T00:00:00.000Z,562000,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9804-2-street-se-calgary-ab
619 AMBER AVENUE SE,Calgary,Alberta,T2H1P5,685500,544300,2015-07-22T00:00:00.000Z,760900,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/619-amber-avenue-se-calgary-ab
9723 2 STREET SE,Calgary,Alberta,T2J0W3,482500,516000,2022-02-18T00:00:00.000Z,675900,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9723-2-street-se-calgary-ab
9711 2 STREET SE,Calgary,Alberta,T2J0W3,662000,538200,2021-02-01T00:00:00.000Z,805500,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9711-2-street-se-calgary-ab
9708 AUSTIN ROAD SE,Calgary,Alberta,T2J0Z2,543000,163000,1999-12-16T00:00:00.000Z,654000,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9708-austin-road-se-calgary-ab
9719 ALBERNI ROAD SE,Calgary,Alberta,T2J0Y9,532500,,1975-02-24T00:00:00.000Z,606200,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9719-alberni-road-se-calgary-ab
9724 ALBERNI ROAD SE,Calgary,Alberta,T2J0Y8,546000,211000,2005-03-31T00:00:00.000Z,668000,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/9724-alberni-road-se-calgary-ab
503 96 AVENUE SE,Calgary,Alberta,T2J0H2,621500,,2010-11-01T00:00:00.000Z,699400,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/503-96-avenue-se-calgary-ab
456 ASTORIA CRESCENT SE,Calgary,Alberta,T2J0Y7,572500,129000,1996-01-04T00:00:00.000Z,664200,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/456-astoria-crescent-se-calgary-ab
430 ASTORIA CRESCENT SE,Calgary,Alberta,T2J0Y5,550000,406800,2019-09-09T00:00:00.000Z,668000,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/430-astoria-crescent-se-calgary-ab
36 Tu Cho Drive,Two Mile And Two And One-half Mile Village,Yukon,Y0A1C0,,,,621800,2024-04-10T00:00:00.000Z,https://honestdoor.com/property/36-tu-cho-drive-two-mile-and-two-and-one-half-mile-village-yt-j693a
