Address,Price,Bed,Bath,Area,CarSpaces,Specification,Agent1Name,Agent1Number,Agent2Name,Agent2Number,PropertyId,Pictures,Url
"118 Capital Avenue, Glen Waverley, Vic 3150","$2,000,000 - $2,200,000",5,3,641m²,2,"Discover the epitome of modern living in this stunning 5-bedroom residence, featuring dual living areas and a master suite on both levels. With 3 bathrooms, including a powder room, this home ensures comfort and convenience for the whole family.,The spacious kitchen comes complete with a butler's pantry, perfect for culinary enthusiasts. Enjoy the flexibility of multiple living areas, ideal for entertaining guests or relaxing with loved ones.,Situated on a corner block, this home offers North facing L-shaped yard areas with plenty of space for entertaining. The covered alfresco area provides a perfect setting for outdoor gatherings and relaxation.,Built in late 2019, this property offers modern comforts such as zoned heating and cooling. With flexible settlement options available, this is an opportunity not to be missed.,Located near prestigious schools like Highvale Primary/Secondary College and Camelot Rise Primary School, this home is perfect for families. Glen Waverley Shopping Centre is less than 2km away, providing easy access to trains, busses, dining, shopping, and entertainment options.,Photo ID required at all open for inspections.",Nicholas Richards,04016100...,Selena Sun,04356236...,144700304,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/581718d77e0a450c96798c993dde82442fa0908bc55d13c3263a8ebaeb29bfd5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/089a29460ed433986356f8998626200143d0e231cbde7135363ff3c7a323b7f0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/089a29460ed433986356f8998626200143d0e231cbde7135363ff3c7a323b7f0/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/feaf939f213334ff22fc7708b961b778ce363ae55a6ad74d954e2ea85a0f1d71/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/e60ca09fc4695cdcee339ce494cc1c477569174afba5583de327b2edafdf67fe/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144700304
"18 Brighton Street, Glen Waverley, Vic 3150","$1,580,000 - $1,650,000",3,2,656m²,1,"Nestled in a highly sought-after lifestyle enclave, this newly renovated family home boasts a prime position on a expansive 656sqm allotment with an impressive 32m wide frontage.,Newly renovated with modern interior designs, timber floors and a deluxe kitchen featuring stone benchtops and Omega appliances; the house has a spacious living area bathed in abundance of natural light as well as three generously appointed bedrooms, including a master bedroom with large ensuite. Additional features include a fully-tiled second bathroom, split system heating/AC and a garage boasting ample workshop space.,Conveniently located within walking distance to The Glen shopping centre and dining precinct, Kingsway entertainment, Glen Waverley train station and buses. It also falls within the catchment of the esteemed public and private school such as Glen Waverley Primary, Highvale Secondary College, Wesley College and Caulfield Grammer.,The property presents immediate pleasure and leasing opportunities, while also offering exciting potential for future expansion or the creation of your dream home in one of the most sought-after neighbourhoods in Victoria..",Ryan Yan,04141452...,Christopher Pataud,04811647...,143455900,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/ed5951bf2382606c9ec86cdf56afd0fedf7e420063cbdc1d108027837cb97143/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0c4926c98d21a75ebd284f97b9983346dc335376d33a85c6a257cf99bcdf35c5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/0c4926c98d21a75ebd284f97b9983346dc335376d33a85c6a257cf99bcdf35c5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/8dd0bd75b0a55cfa9f74051cb7a878ee3bfbf6d1b0c03d9c8446f4fb70583600/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/b18c28d1875a8e39eef8fa57038e7a2a728f97c3054c20542befd8168bbf9001/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-143455900
"17 Kristen Close, Glen Waverley, Vic 3150","$1,630,000 - $1,650,000",4,2,643m²,2,"Presenting an exceptional blend of modern style and single-level convenience, this beautifully renovated north-facing home represents a captivating opportunity for those in search of move-in ready comfort.,A stylish persona and brilliant natural light create a contemporary feel throughout a sun-soaked living/dining domain, sleek kitchen/meals area featuring new European stainless steel appliances and stone benchtops and spacious outdoor surrounds.,The main bedroom is fitted with a dual-vanity ensuite/WIR and is accompanied by 3 additional bedrooms and luxe fully-tiled bathroom with fashioned fluted shower screen, rose gold shower head and tapware. Ducted heating, an alarm, low-maintenance yard and double carport add further luxury to this welcoming residence, along with a prized location within the Mt View Primary and Highvale Secondary zones, moments to Kingsway eateries, The Glen Shopping Centre, Glen Waverley train station and numerous parklands.",Lily Chen,04037078...,Sean Lin,04520503...,144326040,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/aabd1dda3a69ef1dcc728a0769da34bea77589ae4b3c04a5728d3ec10357adf5/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3e0590a4eaf5a64139e845a929cdaf0ad4c55a28331ee2924fe25ba07f7b8b6f/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/3e0590a4eaf5a64139e845a929cdaf0ad4c55a28331ee2924fe25ba07f7b8b6f/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/fc8ae0c0f28bd8ccfd89c775f87ca7f2365c8be8170284bae2ac5d226c330d6a/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/4864d81f311386982c97cc7cae6a54b1217e1f539e3c685800c4c70402b33a60/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144326040
