Address,Price,Bed,Bath,Area,CarSpaces,Specification,Agent1,Agent2,PropertyId,Pictures,Url
"109 Springvale Road, Glen Waverley, Vic 3150","$900,000 to $990,000",3 bedrooms,1 bathroom,450 m² land size,2 parking spaces,"Offering an elevated position on a generous corner lot; this desirable single-storey home that boast three bedrooms with built-in robes is the epitome of family-friendly living. Set on approx. 450sqm and located so close to elite schools as well as the iconic The Glen Shopping Centre, this desirable residence ensures convenience and offers great privacy from the street. ,Step inside to discover Tasmanian Oak floorboards that span the light-filled northern eastern-facing lounge, living, meals, and kitchen areas; that is separated by elegant French doors that exude a sense of space and versatility - ideal for both everyday living and entertaining whilst providing warmth and inviting ambiance for relaxation and gatherings. ,The kitchen, adorned with exquisite Caesarstone and 2Pac cabinetry finish, offers ample bench space and is equipped with Asko and Blanco 900mm oven/gas stainless steel appliances, making meal preparation a delight. Overlooking a private backyard adorned with vibrant flora, this culinary haven is a place where every cooking session transforms into a joyous culinary adventure.,You could also venture outdoors to your own low-maintenance landscaped backyard from the two bedrooms whilst enjoying outdoor living all year round. Also, make the most of a pristine family bathroom with a separate toilet, Daikin A/C unit in the lounge room and two bedrooms, laundry, great drying courtyard area off laundry, security door, rainwater tank, double carport with side gate access to the courtyard and a large shed for storage. ,Zoned for Highvale Secondary College and Highvale Primary School (STSA), you're also located so close to Highview Park, Larpent Reserve, Glen Waverley North Reserve, Wesley College, Vermont South Shopping Centre, Burwood One, Kingsway shops, buses, Glen Waverley Station, and Eastlink.","[('Katherine Yu', '04033016...')]",,144299468,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c573c35d4007fba7b75bc62c21322c2a56bcca0087b1b2be7bc4b429130d59aa/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c573c35d4007fba7b75bc62c21322c2a56bcca0087b1b2be7bc4b429130d59aa/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/dadafe17178fdd5af5255c2a63fe88ca50fb252c9795cf76162547745169b7a3/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/7f6ded9158fa8f8f6e3bdd55c1a30425a14930945272785829a347f503565a97/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/06bb32664e9fc4b55d7af7e3563ce0e46043973d1ad585e2db59988b136a00a2/image.jpg",https://www.realestate.com.au/property-house-vic-glen+waverley-144299468
"4/574-576 Highbury Road, Glen Waverley, Vic 3150","$800,000 - $880,000",3 bedrooms,1 bathroom,,3 parking spaces,"Delivering defined spaces for living and dining, this delightful single level unit provides the perfect entry level opportunity for first homebuyers and investors with placement in the coveted Burwood East Primary Zone.,Nestled in a boutique group of four, the unit’s layout is easy to enjoy with stone benches highlighting the kitchen, while the private courtyard is generously sized and encourages entertaining in a low-maintenance outdoor environment.,Property Highlights:,•	Three bedrooms all featuring large windows and carpet underfoot.,•	Family bathroom accompanied by a separate toilet.,•	Generously sized lounge room that’s naturally bright yet private thanks to outdoor hedging.,•	Delightful meals zone beside the kitchen boasting stone benches, gloss white cabinetry and stainless steel appliances.,•	Good-sized courtyard that’s low-maintenance and perfect for entertaining.,•	Further complemented by a full-sized laundry.,•	Climate control includes ducted heating and split system air conditioning.,•	Incorporating the additional benefits of solar electricity panels, high ceilings, remote control garage plus a driveway parking space.,Local Attractions:,•	Step out the front and enjoy the convenience of a 736 bus stop right on your doorstep.,•	Walking distance to Burwood East Primary and close to Forest Hill College, Wesley College and Emmaus College.,•	Central to Burwood One Shopping Centre and The Glen.,•	Moments from trams that run along Burwood Hwy past PLC and Deakin Uni before arriving at the CBD.","[('Chris Feng', '03956039...')]",,144687764,"https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/c27f13ec4dacb2c85977ea14558decee37cdbd055b8f128644cdaabb4fb65e93/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/34f9633024c7461d8b289bcf48fb086c9d310aad969549eec2358716c0cd49b2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/34f9633024c7461d8b289bcf48fb086c9d310aad969549eec2358716c0cd49b2/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/a4da1e6e3acfa6b85a36a57b3e3d4e2824281e03ae39ed4265cbcc8210081ea4/image.jpg,https://i2.au.reastatic.net/1136x696-resize,extend,r=33,g=40,b=46/960632332bd715492eb33bfc8b870b196268d3cfaccc1c2cf3d9100753db5226/image.jpg",https://www.realestate.com.au/property-unit-vic-glen+waverley-144687764
