URL,fullAddress,type,images,beds,baths,sqft,price,latitude,longitude,city,street,state,zipCode,yearBuilt,style,lot,agentName,agentPhone,agentEmail,brokerName,MLS,tax,availabilityDate
https://www.zillow.com/homedetails/155-Quartz-Dr-Sedona-AZ-86351/8772221_zpid/,155 Quartz Dr Sedona AZ 86351,APARTMENT,"['https://photos.zillowstatic.com/fp/57d5e72d0dc14c3a86f6e31c33683ec6-cc_ft_192.jpg', 'https://photos.zillowstatic.com/fp/57d5e72d0dc14c3a86f6e31c33683ec6-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/57d5e72d0dc14c3a86f6e31c33683ec6-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/57d5e72d0dc14c3a86f6e31c33683ec6-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/57d5e72d0dc14c3a86f6e31c33683ec6-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/57d5e72d0dc14c3a86f6e31c33683ec6-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/57d5e72d0dc14c3a86f6e31c33683ec6-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/57d5e72d0dc14c3a86f6e31c33683ec6-cc_ft_1536.jpg']",3,2,1932,4095,34.78311,-111.75399,Sedona,155 Quartz Dr,AZ,86351,,Apartment,,Sedona Elite Properties,9283960176,,,,3763.96,
https://www.zillow.com/apartments/sedona-az/130cr69/5XpJH5/,130 Castle Rock Rd Sedona AZ 86351,townhome,"['https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1536.jpg']",2,2,,2100,34.780761,-111.765411,Sedona,130 Castle Rock Rd,AZ,86351,,,,,,,,,,
https://www.zillow.com/apartments/sedona-az/130cr69/5XpJH5/,130 Castle Rock Rd Sedona AZ 86351,townhome,"['https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1536.jpg']",2,2,,2100,34.780761,-111.765411,Sedona,130 Castle Rock Rd,AZ,86351,,,,,,,,,,
https://www.zillow.com/apartments/sedona-az/130cr69/5XpJH5/,130 Castle Rock Rd Sedona AZ 86351,townhome,"['https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1536.jpg']",2,2,,2100,34.780761,-111.765411,Sedona,130 Castle Rock Rd,AZ,86351,,,,,,,,,,
https://www.zillow.com/apartments/sedona-az/130cr69/5XpJH5/,130 Castle Rock Rd Sedona AZ 86351,townhome,"['https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1536.jpg']",2,2,,2100,34.780761,-111.765411,Sedona,130 Castle Rock Rd,AZ,86351,,,,,,,,,,
https://www.zillow.com/apartments/sedona-az/130cr69/5XpJH5/,130 Castle Rock Rd Sedona AZ 86351,townhome,"['https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1536.jpg']",2,2,,2100,34.780761,-111.765411,Sedona,130 Castle Rock Rd,AZ,86351,,,,,,,,,,
https://www.zillow.com/apartments/sedona-az/130cr69/5XpJH5/,130 Castle Rock Rd Sedona AZ 86351,townhome,"['https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1536.jpg']",2,2,,2100,34.780761,-111.765411,Sedona,130 Castle Rock Rd,AZ,86351,,,,,,,,,,
https://www.zillow.com/apartments/sedona-az/130cr69/5XpJH5/,130 Castle Rock Rd Sedona AZ 86351,townhome,"['https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1536.jpg']",2,2,,2100,34.780761,-111.765411,Sedona,130 Castle Rock Rd,AZ,86351,,,,,,,,,,
https://www.zillow.com/apartments/sedona-az/130cr69/5XpJH5/,130 Castle Rock Rd Sedona AZ 86351,townhome,"['https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1536.jpg']",2,2,,2100,34.780761,-111.765411,Sedona,130 Castle Rock Rd,AZ,86351,,,,,,,,,,
https://www.zillow.com/apartments/sedona-az/130cr69/5XpJH5/,130 Castle Rock Rd Sedona AZ 86351,townhome,"['https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_384.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_576.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_768.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_960.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1152.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1344.jpg', 'https://photos.zillowstatic.com/fp/ea296bf420cfa555784b127cfe614744-cc_ft_1536.jpg']",2,2,,2100,34.780761,-111.765411,Sedona,130 Castle Rock Rd,AZ,86351,,,,,,,,,,
